MODELO;ITAJAI;BC;CAMBORIU;NAVEGANTES;ILHOTA;PENHA;PICARRAS;ITAPEMA;PORTO BELO;BARRA VELHA;LUIS ALVES;BOMBINHAS;TIJUCAS;GASPAR;BLUMENAU;BRUSQUE
WTE8;350;450;450;450;450;550;550;550;600;550;550;650;650;600;650;550
WTE10;350;450;450;450;450;550;550;550;600;550;550;650;650;600;650;550
WTE12;350;450;450;450;450;550;550;550;600;550;550;650;650;600;650;550
WTE14;350;450;450;450;450;550;550;550;600;550;550;650;650;600;650;550
WTE16;350;450;450;450;450;550;550;550;600;550;550;650;650;600;650;550
WTD10;350;450;450;450;450;550;550;550;600;550;550;650;650;600;650;550
WTD12;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WTD15;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WTD18;550;650;650;600;650;700;700;750;800;750;750;850;850;800;850;750
WAE12;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WAE14;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WAE16;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WAE16R;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WAE17;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WAE18;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WAE18R;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WAE20;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WAE20R;550;650;650;600;650;700;700;750;800;750;750;850;850;800;850;750
WAE22R;550;650;650;600;650;700;700;750;800;750;750;850;850;800;850;750
WAE24R;550;650;650;600;650;700;700;750;800;750;750;850;850;800;850;750
WAE26R;1600;1700;1700;1600;1700;1700;1700;1700;1800;1700;1700;1800;1800;1800;1800;1700
WAE28R;1600;1700;1700;1600;1700;1700;1700;1700;1800;1700;1700;1800;1800;1800;1800;1700
WAD12;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WAD16;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WAD17;500;600;600;550;600;650;650;650;700;650;650;750;750;700;750;650
WAD18;550;650;650;600;650;700;700;750;800;750;750;850;850;800;850;750
WAD20;550;650;650;600;650;700;700;750;800;750;750;850;850;800;850;750
WAD22;550;650;650;600;650;700;700;750;800;750;750;850;850;800;850;750
WAD26;1600;1700;1700;1600;1700;1700;1700;1700;1800;1700;1700;1800;1800;1800;1800;1700
WAD28;1600;1700;1700;1600;1700;1700;1700;1700;1800;1700;1700;1800;1800;1800;1800;1700
WAD32;1600;1700;1700;1600;1700;1700;1700;1700;1800;1700;1700;1800;1800;1800;1800;1700
WAD34;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA
WAD40;1600;1700;1700;1600;1700;1700;1700;1700;1800;1700;1700;1800;1800;1800;1800;1700
WAD43;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA
WAD44;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA;NÃO CARREGA
WME8;350;450;450;450;450;550;550;550;600;550;550;650;650;600;650;550
WME10;350;450;450;450;450;550;550;550;600;550;550;650;650;600;650;550
WME11;350;450;450;450;450;550;550;550;600;550;550;650;650;600;650;550
