MODELO;ITAJAI;BC;CAMBORIU;NAVEGANTES;ILHOTA;PENHA;PICARRAS;ITAPEMA;PORTO BELO;BARRA VELHA;LUIS ALVES;BOMBINHAS;TIJUCAS;GASPAR;BLUMENAU;BRUSQUE;GUARAMIRIM;JARAGUA DO SUL
WTE8;400;400;450;400;450;500;500;500;550;550;750;850;650;550;600;500;;900
WTE10;400;400;450;400;450;500;500;500;550;550;750;850;650;550;600;500;;900
WTE12;400;400;450;400;450;500;500;500;550;550;750;850;650;550;600;500;;900
WTE14;400;400;450;400;450;500;500;500;550;550;750;850;650;550;600;500;;900
WTE16;400;400;450;400;450;500;500;500;550;550;750;850;650;550;600;500;;900
WTD10;400;400;450;400;450;500;500;500;550;550;750;850;650;550;600;500;;900
WTD12;400;400;450;400;450;500;500;500;550;550;750;850;650;550;600;500;;900
WTD15;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WTD18;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAE12;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAE14;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAE16;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAE16R;700;750;750;750;700;900;900;1000;1000;900;1250;1350;1050;900;1200;900;;1600
WAE17;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAE18;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAE18R;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAE20;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAE20R;700;750;750;750;700;900;900;1000;1000;900;1250;1350;1050;900;1200;900;;1600
WAE22R;700;750;750;750;700;900;900;1000;1000;900;1250;1350;1050;900;1200;900;;1600
WAE24R;700;750;750;750;700;900;900;1000;1000;900;1250;1350;1050;900;1200;900;;1600
WAD12;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAD16;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAD17;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAD18;550;600;600;600;550;750;750;800;800;800;1000;1200;900;800;950;750;;1300
WAD20;700;750;750;750;700;900;900;1000;1000;900;1250;1350;1050;900;1200;900;;1600
WAD22;700;750;750;750;700;900;900;1000;1000;900;1250;1350;1050;900;1200;900;;1600
WME8;350;400;450;400;450;500;500;500;550;550;750;850;650;550;600;500;;900
WME10;400;400;450;400;450;500;500;500;550;550;750;850;650;550;600;500;;900
WME11;400;400;450;400;450;500;500;500;550;550;750;850;650;550;600;500;;900
