MODELO;ITAJAI;BC;CAMBORIU;NAVEGANTES;ILHOTA;PENHA;PICARRAS;ITAPEMA;PORTO BELO;BARRA VELHA;LUIS ALVES;BOMBINHAS;TIJUCAS;GASPAR;BLUMENAU;BRUSQUE;GUARAMIRIM;JARAGUA DO SUL
WTE8;350;350;350;350;400;450;450;480;580;600;580;750;750;620;840;500;1250;1350
WTE10;350;350;350;350;400;450;450;480;580;600;580;750;750;620;840;500;1250;1350
WTE12;350;400;400;400;400;450;450;480;580;600;580;750;750;620;840;500;1250;1350
WTE14;350;400;400;400;450;450;450;500;600;650;600;750;750;620;840;500;1250;1350
WTE16;400;400;400;400;450;500;500;500;600;650;600;750;750;620;840;500;1250;1350
WTD10;350;350;350;350;400;450;450;480;580;600;580;750;750;620;840;500;1250;1350
WTD12;350;350;350;350;400;450;450;480;580;600;580;750;750;620;840;500;1250;1350
WTD15;400;400;400;400;450;450;450;500;600;650;600;750;750;620;840;500;1250;1350
WTD18;450;500;500;500;450;500;500;500;600;650;600;750;750;620;840;500;1250;1350
WAE12;400;400;400;400;450;450;450;500;600;650;600;800;800;650;850;500;1250;1350
WAE14;400;400;400;400;450;450;450;500;600;650;600;800;800;650;850;500;1250;1350
WAE16;400;450;450;450;500;500;500;550;650;700;650;800;800;650;850;500;1250;1350
WAE16R;400;450;450;450;500;500;500;550;650;700;650;850;800;650;850;550;1250;1400
WAE17;450;500;500;500;550;600;600;600;700;750;700;850;850;700;850;550;1450;1400
WAE18;500;500;500;500;600;650;650;650;700;750;700;850;850;700;850;600;1450;1400
WAE18R;500;500;500;500;600;650;650;650;700;750;700;900;900;750;950;600;1450;1400
WAE20;550;600;600;600;700;750;750;750;800;800;800;950;950;800;1000;650;1600;1600
WAE20R;550;600;600;600;700;750;750;750;800;800;800;950;950;800;1000;650;1600;1600
WAE22R;600;650;650;650;750;800;800;800;800;850;800;1000;1000;850;1000;650;1600;1600
WAE24R;1300;1500;1500;1500;1700;2.000,00;2000;2200;2450;2450;2450;2900;2900;2500;2750;2200;3000;3300
WAE26R;1300;1500;1500;1500;1700;2000;2000;2200;2450;2450;2450;2900;2900;2500;2750;2200;3000;3300
WAE28R;1300;1500;1500;1500;1700;2000;2000;2200;2450;2450;2450;2900;2900;2500;2750;2200;3000;1350
WAD12;400;400;400;400;450;450;450;500;600;650;600;800;800;650;850;500;1250;1350
WAD16;400;400;400;400;500;450;450;500;600;650;600;800;800;650;850;500;1250;1400
WAD17;450;450;450;450;550;600;600;600;650;700;650;850;850;700;850;500;1250;1400
WAD18;500;500;500;500;600;650;650;650;700;750;700;850;850;750;950;600;1450;1600
WAD20;550;600;600;600;700;750;750;700;800;800;800;950;950;800;1000;650;1450;1600
WAD22;600;650;650;650;750;800;800;750;800;850;800;1000;950;850;1000;700;1450;1600
WAD26;1300;1500;1500;1500;1700;2000;2000;2200;2450;2450;2450;2900;2900;2500;2750;2200;3000;3300
WAD28;1300;1500;1500;1500;1700;2000;2000;2200;2450;2450;2450;2900;2900;2500;2750;2200;3000;3300
WAD32;1350;1600;1600;1600;1800;2100;2100;2300;2500;2500;2500;3000;3000;2600;2750;2400;3100;3400
WAD34;1400;1600;1600;1600;1800;2100;2100;2300;2600;2600;2600;3000;3000;2600;2850;2400;3100;3400
WAD40;1400;1650;1650;1650;1900;2200;2200;2350;2600;2600;2600;3100;3100;2650;2850;2400;3100;3400
WAD43;1450;1650;1650;1650;1900;2200;2200;2350;2600;2600;2600;3100;3100;2650;2850;2400;3100;3400
WAD44;1450;1650;1650;1650;1900;2200;2200;2350;2600;2600;2600;3200;3200;2650;2850;2400;3100;3400
WME8;350;350;350;350;400;450;450;500;580;600;580;750;750;620;840;500;1250;1350
WME10;350;350;350;350;400;450;450;500;580;600;580;750;750;620;840;500;1250;1350
WME11;350;350;350;350;400;450;450;500;580;600;580;750;750;620;840;500;1250;1350
